KOTAK,HDFC,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.1,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
7.2,6.6,6.7,7.1,7.5,6.8,6.8,6.75,6.9,6.3
7.2,6.6,6.7,7.1,7.5,6.8,6.8,6.75,6.9,6.3
7.2,6.6,6.7,7.1,7.5,6.8,6.8,6.75,6.9,6.3
7.2,6.6,6.7,7.1,7.5,6.8,6.8,6.75,6.9,6.3
